system:index,ID,max,mean,median,source,stdDev,.geo
1_1_19900314_23,UCDSNM016769,0.434653639793396,0.3828427903354168,0.38119135797023773,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.014806462561258444,
1_1_19900314_5,UCDSNM003796,0.939387321472168,0.9008995023640719,0.9180319905281067,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.03296811030868546,
1_1_19900314_8,UCDSNM009725,0.17243331670761108,0.03845760226249695,0.07981663197278976,LANDSAT/LT5_L1T_8DAY_NDWI/19900314,0.11226004152699619,
1_1_19900322_3,UCDSNM000426,0.9238950610160828,-0.10427881676258353,-0.19926431873776265,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.26262963982002574,
1_1_19900322_4,UCDSNM001115,0.9511959552764893,0.8353674902104499,0.9027144999215098,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.16280621335871312,
1_1_19900322_12,UCDSNM011600,0.9418066143989563,0.7561055167726677,0.8528221050898234,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.21885847365854136,
1_1_19900322_18,UCDSNM014503,0.9846469759941101,0.9539592757763102,0.9584468483924866,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.0209778472717958,
1_1_19900322_10,UCDSNM011455,0.9589958190917969,0.9384173846670559,0.9396413445472718,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.014252565067008529,
1_1_19900322_9,UCDSNM011447,0.9424627423286438,0.922646184762319,0.9236670136451721,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.013752274705215449,
1_1_19900322_11,UCDSNM011536,0.9621204733848572,0.9084332003479912,0.9316707849502563,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.05441812205138035,
1_1_19900322_16,UCDSNM013064,0.9566887021064758,0.8806134253740311,0.8939886689186096,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.04630151798941483,
1_1_19900322_7,UCDSNM005339,0.9256830811500549,0.8028049222036694,0.8833807408809662,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.1749360845553127,
1_1_19900322_20,UCDSNM016357,0.9419897794723511,0.8846675157546997,0.901138961315155,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.048832629496473795,
1_1_19900322_23,UCDSNM016769,0.5978639721870422,0.18766283011063933,0.16158968210220337,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.1506326324001854,
1_1_19900322_15,UCDSNM012985,0.9404290914535522,0.8819478533484719,0.8790416717529297,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.036750135929170334,
1_1_19900322_14,UCDSNM012863,0.8936004638671875,0.613547396659851,0.6096052527427673,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.16716370761465385,
1_1_19900322_17,UCDSNM014209,0.9443398714065552,0.8549189292467557,0.8521794080734253,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.0508539492886281,
1_1_19900322_2,UCDSNM000195,0.8282204866409302,0.49440462248665945,0.5240709185600281,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.20647791845617985,
1_1_19900322_8,UCDSNM009725,0.1809534877538681,0.08867321372963488,0.08206260204315186,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.0735381338764724,
1_1_19900322_13,UCDSNM012349,0.9151685237884521,0.84738161166509,0.8859062790870667,LANDSAT/LT5_L1T_8DAY_NDWI/19900322,0.0761169438005738,
1_1_19900330_12,UCDSNM011600,0.9441688060760498,0.47343520245025944,0.6041708389918009,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.3757161159646272,
1_1_19900330_22,UCDSNM016589,0.8791313171386719,0.014411382898346547,-0.14944262554248175,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.309664220057318,
1_1_19900330_19,UCDSNM015782,0.6711280941963196,-0.022541706434932057,-0.09171735495328903,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.1943347196451311,
1_1_19900330_6,UCDSNM004476,0.9616625905036926,0.9167593794840353,0.9312092363834381,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.03578589542199024,
1_1_19900330_10,UCDSNM011455,0.9506559371948242,0.9287267220871789,0.9373119870821636,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.02247634048003784,
1_1_19900330_9,UCDSNM011447,0.9559162259101868,0.9328353752692541,0.9413875490427017,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.020253699230808976,
1_1_19900330_7,UCDSNM005339,0.7432042956352234,0.22438226878810463,0.1604844182729721,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.1463884886540729,
1_1_19900330_21,UCDSNM016565,0.768153727054596,0.24306775675116418,0.09440849348902702,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.32535219739085885,
1_1_19900330_20,UCDSNM016357,0.9471467137336731,0.8588335824012756,0.8782139420509338,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.09077564569391683,
1_1_19900330_23,UCDSNM016769,0.4182524085044861,0.1130313122739608,0.10448306798934937,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.1280930052923788,
1_1_19900330_5,UCDSNM003796,0.9461899995803833,0.8892753720283508,0.8949484825134277,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.0481730582887964,
1_1_19900330_2,UCDSNM000195,0.7685648798942566,0.18706762032317265,0.1549166403710842,LANDSAT/LT5_L1T_8DAY_NDWI/19900330,0.23529871553595094,
1_1_19900407_12,UCDSNM011600,0.9035659432411194,0.31977119051524133,0.23971395194530487,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.31837582356914973,
1_1_19900407_18,UCDSNM014503,0.9164106249809265,0.8714668816861475,0.8837885137262016,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.03891131272591412,
1_1_19900407_10,UCDSNM011455,0.9174380302429199,0.8917010559567383,0.895803689956665,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.01675199798877822,
1_1_19900407_9,UCDSNM011447,0.9357982277870178,0.9074603468179703,0.9138833284378052,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.0192551015795301,
1_1_19900407_11,UCDSNM011536,0.9268247485160828,0.863995346285048,0.886664867401123,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.06454829038034261,
1_1_19900407_16,UCDSNM013064,0.889473557472229,0.8139280751347542,0.8337984085083008,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.054358968758647305,
1_1_19900407_23,UCDSNM016769,0.23575390875339508,0.16191718510041633,0.1587635800242424,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.034245581930907265,
1_1_19900407_15,UCDSNM012985,0.85908442735672,0.8302351669831709,0.8343340754508972,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.021315696650834194,
1_1_19900407_14,UCDSNM012863,0.654130220413208,0.4312146186828613,0.36588728427886963,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.11455324001632529,
1_1_19900407_17,UCDSNM014209,0.8880940675735474,0.7938423982033362,0.7915752530097961,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.06498047817117623,
1_1_19900407_8,UCDSNM009725,0.17852318286895752,0.10252033323049545,0.11600729823112488,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.05346770041123652,
1_1_19900407_13,UCDSNM012349,0.8216055631637573,0.7245774070421854,0.7420059442520142,LANDSAT/LT5_L1T_8DAY_NDWI/19900407,0.08721343863951406,
1_1_19900423_3,UCDSNM000426,0.23104165494441986,-0.02346304042427915,-0.022532735520334385,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.05862747902630106,
1_1_19900423_4,UCDSNM001115,0.7826119661331177,0.004192250347490665,-0.043751094257459044,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.18148829305101882,
1_1_19900423_12,UCDSNM011600,0.6742756962776184,0.05440920508495475,0.029165311250835657,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.14830473089742027,
1_1_19900423_18,UCDSNM014503,0.8417007923126221,0.5540246349915224,0.576121966044108,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.18050219352287675,
1_1_19900423_10,UCDSNM011455,0.9375573992729187,0.9038219201777663,0.9105319976806641,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.030599740340695885,
1_1_19900423_9,UCDSNM011447,0.9275066256523132,0.9022712161143621,0.9132003784179688,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.02363215337506172,
1_1_19900423_11,UCDSNM011536,0.9428244233131409,0.8639175182297116,0.9042907655239105,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.08664449477851253,
1_1_19900423_16,UCDSNM013064,0.83026123046875,0.7246292725205421,0.7411558032035828,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.07634969608134533,
1_1_19900423_7,UCDSNM005339,0.6429280638694763,0.06846932838134615,0.008319686632603407,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.1821017187065945,
1_1_19900423_20,UCDSNM016357,0.7974441051483154,0.4562395220994949,0.44894489645957947,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.16375359996267877,
1_1_19900423_23,UCDSNM016769,0.4229605495929718,0.29010053413609665,0.2998516261577606,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.07105526028190712,
1_1_19900423_15,UCDSNM012985,0.8301965594291687,0.7791014476255937,0.7840705513954163,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.03638951838530201,
1_1_19900423_14,UCDSNM012863,0.36822137236595154,0.32946012616157533,0.3212214708328247,LANDSAT/LT5_L1T_8DAY_NDWI/19900423,0.02840159092750169,
