system:index,image_date,mean,median,source,std,variance,.geo
1_1_19950509,799977600000,{NDWI=0.33423281754668893},{NDWI=0.341979627425854},LANDSAT/LT5_L1T_32DAY_NDWI/19950509,{NDWI=0.13194624615951825},{NDWI=0.017409811875588183},
1_1_19950610,802742400000,{NDWI=0.3396983317587893},{NDWI=0.3609040283731052},LANDSAT/LT5_L1T_32DAY_NDWI/19950610,{NDWI=0.12960304862349487},{NDWI=0.016796950212503974},
1_1_19950712,805507200000,{NDWI=0.16901873372802828},{NDWI=0.1892720864099615},LANDSAT/LT5_L1T_32DAY_NDWI/19950712,{NDWI=0.1268100215671357},{NDWI=0.016080781569857417},
1_1_19950813,808272000000,{NDWI=0.08094307545150876},{NDWI=0.11524292454123497},LANDSAT/LT5_L1T_32DAY_NDWI/19950813,{NDWI=0.12582634787084876},{NDWI=0.01583226981851585},
1_1_19950914,811036800000,{NDWI=0.009409990804354392},{NDWI=-0.013394234608858824},LANDSAT/LT5_L1T_32DAY_NDWI/19950914,{NDWI=0.091834818614986},{NDWI=0.00843363391004738},
1_1_19951016,813801600000,{NDWI=-0.06672454493084443},{NDWI=-0.10347519051737902},LANDSAT/LT5_L1T_32DAY_NDWI/19951016,{NDWI=0.12373444401646859},{NDWI=0.015310212636064599},
1_1_19951117,816566400000,{NDWI=0.2875044399066708},{NDWI=0.2848678366704421},LANDSAT/LT5_L1T_32DAY_NDWI/19951117,{NDWI=0.01764999599136007},{NDWI=3.115223584950265E-4},
1_1_19951219,819331200000,{NDWI=0.4491377694783752},{NDWI=0.3854277729988098},LANDSAT/LT5_L1T_32DAY_NDWI/19951219,{NDWI=0.264962547031256},{NDWI=0.07020515132929053},
1_1_19960101,820454400000,{NDWI=0.4491377694783752},{NDWI=0.3854277729988098},LANDSAT/LT5_L1T_32DAY_NDWI/19960101,{NDWI=0.264962547031256},{NDWI=0.07020515132929053},
1_1_19960202,823219200000,{NDWI=0.24268384597681117},{NDWI=0.224809404266508},LANDSAT/LT5_L1T_32DAY_NDWI/19960202,{NDWI=0.07910882245610679},{NDWI=0.006258205790391825},
1_1_19960305,825984000000,{NDWI=0.8772686500121529},{NDWI=0.9084916318717756},LANDSAT/LT5_L1T_32DAY_NDWI/19960305,{NDWI=0.07524936180600372},{NDWI=0.005662466452210853},
1_1_19960406,828748800000,{NDWI=0.2764106656689028},{NDWI=0.28332186287099664},LANDSAT/LT5_L1T_32DAY_NDWI/19960406,{NDWI=0.1364874264573665},{NDWI=0.018628817580955026},
1_1_19960508,831513600000,{NDWI=0.39869269967957227},{NDWI=0.4120102543780144},LANDSAT/LT5_L1T_32DAY_NDWI/19960508,{NDWI=0.10090709622252111},{NDWI=0.010182242068061136},
1_1_19960609,834278400000,{NDWI=0.2063514176938121},{NDWI=0.22439567436432017},LANDSAT/LT5_L1T_32DAY_NDWI/19960609,{NDWI=0.11578636926817827},{NDWI=0.013406483308306938},
1_1_19960711,837043200000,{NDWI=0.06148733197683084},{NDWI=0.07577680853696969},LANDSAT/LT5_L1T_32DAY_NDWI/19960711,{NDWI=0.12599330727430424},{NDWI=0.01587431347791725},
1_1_19960812,839808000000,{NDWI=0.2179784341141026},{NDWI=0.24018437062439166},LANDSAT/LT5_L1T_32DAY_NDWI/19960812,{NDWI=0.22155950090409193},{NDWI=0.049088612440870316},
1_1_19960913,842572800000,{NDWI=-0.06542024991144692},{NDWI=-0.08799443715343289},LANDSAT/LT5_L1T_32DAY_NDWI/19960913,{NDWI=0.10951560918419184},{NDWI=0.011993668654984644},
1_1_19961015,845337600000,{NDWI=-0.005746147993685002},{NDWI=-0.04257656297847336},LANDSAT/LT5_L1T_32DAY_NDWI/19961015,{NDWI=0.15812035778423555},{NDWI=0.025002047545814664},
1_1_19961116,848102400000,{NDWI=0.5200652025080955},{NDWI=0.5214888310130639},LANDSAT/LT5_L1T_32DAY_NDWI/19961116,{NDWI=0.12239771430374977},{NDWI=0.014981200466782349},
1_1_19961218,850867200000,{NDWI=0.24652721403081376},{NDWI=0.22265267469312833},LANDSAT/LT5_L1T_32DAY_NDWI/19961218,{NDWI=0.2306257338803485},{NDWI=0.053188229127849325},
1_1_19970101,852076800000,{NDWI=0.24652721403081376},{NDWI=0.22265267469312833},LANDSAT/LT5_L1T_32DAY_NDWI/19970101,{NDWI=0.2306257338803485},{NDWI=0.053188229127849325},
1_1_19970202,854841600000,{NDWI=0.5515096059647341},{NDWI=0.5496031291344586},LANDSAT/LT5_L1T_32DAY_NDWI/19970202,{NDWI=0.019295084696696926},{NDWI=3.723002934527079E-4},
1_1_19970306,857606400000,{NDWI=0.14607031246957936},{NDWI=0.1199777885167687},LANDSAT/LT5_L1T_32DAY_NDWI/19970306,{NDWI=0.1914027347322956},{NDWI=0.03663500686300152},
1_1_19970407,860371200000,{NDWI=0.21688657639512748},{NDWI=0.18479630202054978},LANDSAT/LT5_L1T_32DAY_NDWI/19970407,{NDWI=0.14811162649879572},{NDWI=0.021937053904118764},
1_1_19970509,863136000000,{NDWI=0.3606578936986713},{NDWI=0.37309446930885315},LANDSAT/LT5_L1T_32DAY_NDWI/19970509,{NDWI=0.10818426904921523},{NDWI=0.011703836069712988},
1_1_19970610,865900800000,{NDWI=0.14392445481457988},{NDWI=0.15049624496272632},LANDSAT/LT5_L1T_32DAY_NDWI/19970610,{NDWI=0.09768501291475637},{NDWI=0.009542361748156118},
1_1_19970712,868665600000,{NDWI=0.007909203651326788},{NDWI=0.0020708789766233945},LANDSAT/LT5_L1T_32DAY_NDWI/19970712,{NDWI=0.10254819913339308},{NDWI=0.010516133145502041},
1_1_19970813,871430400000,{NDWI=0.16729838967396793},{NDWI=0.16691121135068976},LANDSAT/LT5_L1T_32DAY_NDWI/19970813,{NDWI=0.04864552094585479},{NDWI=0.002366386708093597},
1_1_19970914,874195200000,{NDWI=0.003697027939591253},{NDWI=-0.011956941661273325},LANDSAT/LT5_L1T_32DAY_NDWI/19970914,{NDWI=0.13220550677348838},{NDWI=0.017478296021234883},
1_1_19971016,876960000000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19971016,{NDWI=null},{NDWI=null},
1_1_19971117,879724800000,{NDWI=0.8071356094663218},{NDWI=0.8802262776427798},LANDSAT/LT5_L1T_32DAY_NDWI/19971117,{NDWI=0.18651726374484473},{NDWI=0.03478868967486397},
1_1_19971219,882489600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19971219,{NDWI=null},{NDWI=null},
1_1_19980101,883612800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19980101,{NDWI=null},{NDWI=null},
1_1_19980202,886377600000,{NDWI=0.7058169839666617},{NDWI=0.7137046743322302},LANDSAT/LT5_L1T_32DAY_NDWI/19980202,{NDWI=0.036135937845251896},{NDWI=0.0013058060039559082},
1_1_19980306,889142400000,{NDWI=0.6837738090526784},{NDWI=0.6821623932231556},LANDSAT/LT5_L1T_32DAY_NDWI/19980306,{NDWI=0.021690605990181768},{NDWI=4.7048238822130925E-4},
1_1_19980407,891907200000,{NDWI=0.47544541290076253},{NDWI=0.4818865003494116},LANDSAT/LT5_L1T_32DAY_NDWI/19980407,{NDWI=0.02893090021648301},{NDWI=8.369969873360967E-4},
1_1_19980509,894672000000,{NDWI=0.2551010648036238},{NDWI=0.2507936334123417},LANDSAT/LT5_L1T_32DAY_NDWI/19980509,{NDWI=0.05731766618333016},{NDWI=0.0032853148567036695},
1_1_19980610,897436800000,{NDWI=0.4482220955724102},{NDWI=0.4667208958417177},LANDSAT/LT5_L1T_32DAY_NDWI/19980610,{NDWI=0.0984950940723222},{NDWI=0.0097012835563156},
1_1_19980712,900201600000,{NDWI=0.22102796136284822},{NDWI=0.22409361951491413},LANDSAT/LT5_L1T_32DAY_NDWI/19980712,{NDWI=0.12651170711044907},{NDWI=0.016005212036000048},
1_1_19980813,902966400000,{NDWI=0.07999174598464703},{NDWI=0.07990483194589615},LANDSAT/LT5_L1T_32DAY_NDWI/19980813,{NDWI=0.12173972258782777},{NDWI=0.014820560055761262},
1_1_19980914,905731200000,{NDWI=0.008311226114435707},{NDWI=-0.003974327491447091},LANDSAT/LT5_L1T_32DAY_NDWI/19980914,{NDWI=0.14738179883814237},{NDWI=0.021721394628766665},
1_1_19981016,908496000000,{NDWI=0.09556914381012487},{NDWI=0.07624252285394403},LANDSAT/LT5_L1T_32DAY_NDWI/19981016,{NDWI=0.1418876497306678},{NDWI=0.02013210514609268},
1_1_19981117,911260800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/19981117,{NDWI=null},{NDWI=null},
1_1_19981219,914025600000,{NDWI=0.8644350815709626},{NDWI=0.888499938835532},LANDSAT/LT5_L1T_32DAY_NDWI/19981219,{NDWI=0.07892029539736799},{NDWI=0.0062284130256078235},
1_1_19990101,915148800000,{NDWI=0.8644350815709626},{NDWI=0.888499938835532},LANDSAT/LT5_L1T_32DAY_NDWI/19990101,{NDWI=0.07892029539736799},{NDWI=0.0062284130256078235},
1_1_19990202,917913600000,{NDWI=0.5564442494207842},{NDWI=0.5360424328934063},LANDSAT/LT5_L1T_32DAY_NDWI/19990202,{NDWI=0.08553855100921053},{NDWI=0.0073168437087553105},
1_1_19990306,920678400000,{NDWI=0.4676273828341738},{NDWI=0.4937652755867351},LANDSAT/LT5_L1T_32DAY_NDWI/19990306,{NDWI=0.2377167687685769},{NDWI=0.056509262153773054},
1_1_19990407,923443200000,{NDWI=0.21368215241486505},{NDWI=0.1969991970520753},LANDSAT/LT5_L1T_32DAY_NDWI/19990407,{NDWI=0.10158278639225216},{NDWI=0.010319062491213931},
1_1_19990509,926208000000,{NDWI=0.32942877139344373},{NDWI=0.3381827050639737},LANDSAT/LT5_L1T_32DAY_NDWI/19990509,{NDWI=0.12437424386566824},{NDWI=0.015468952537156714},
1_1_19990610,928972800000,{NDWI=0.2975104153651415},{NDWI=0.32229002427171777},LANDSAT/LT5_L1T_32DAY_NDWI/19990610,{NDWI=0.13119254278869735},{NDWI=0.017211483283364186},
1_1_19990712,931737600000,{NDWI=0.07328578418125027},{NDWI=0.07258223202721827},LANDSAT/LT5_L1T_32DAY_NDWI/19990712,{NDWI=0.1191934379594764},{NDWI=0.014207075652599549},
1_1_19990813,934502400000,{NDWI=0.020952459246444104},{NDWI=0.009501138925552368},LANDSAT/LT5_L1T_32DAY_NDWI/19990813,{NDWI=0.11632958268102092},{NDWI=0.013532571806740482},
1_1_19990914,937267200000,{NDWI=-0.0733818389369429},{NDWI=-0.10379663075125495},LANDSAT/LT5_L1T_32DAY_NDWI/19990914,{NDWI=0.10397164567152961},{NDWI=0.010810103103646102},
1_1_19991016,940032000000,{NDWI=-0.01646753921033366},{NDWI=-0.05051096759059213},LANDSAT/LT5_L1T_32DAY_NDWI/19991016,{NDWI=0.13789951793786528},{NDWI=0.01901627704749563},
1_1_19991117,942796800000,{NDWI=0.25447899817776487},{NDWI=0.2505990980249463},LANDSAT/LT5_L1T_32DAY_NDWI/19991117,{NDWI=0.02131857960511358},{NDWI=4.5448183637956474E-4},
1_1_19991219,945561600000,{NDWI=0.4080040424628233},{NDWI=0.4021502373969718},LANDSAT/LT5_L1T_32DAY_NDWI/19991219,{NDWI=0.037202520279202775},{NDWI=0.0013840275151244938},
1_1_20000101,946684800000,{NDWI=0.4080040424628233},{NDWI=0.4021502373969718},LANDSAT/LT5_L1T_32DAY_NDWI/20000101,{NDWI=0.037202520279202775},{NDWI=0.0013840275151244938},
1_1_20000202,949449600000,{NDWI=0.16316317093937877},{NDWI=0.16289719628791013},LANDSAT/LT5_L1T_32DAY_NDWI/20000202,{NDWI=0.010409004798101513},{NDWI=1.0834738088690033E-4},
1_1_20000305,952214400000,{NDWI=0.39001089957411045},{NDWI=0.3536791205406189},LANDSAT/LT5_L1T_32DAY_NDWI/20000305,{NDWI=0.15699335145498064},{NDWI=0.024646912401067072},
1_1_20000406,954979200000,{NDWI=0.3183930809074814},{NDWI=0.32627837359905243},LANDSAT/LT5_L1T_32DAY_NDWI/20000406,{NDWI=0.12310433286845567},{NDWI=0.015154676770987533},
1_1_20000508,957744000000,{NDWI=0.39527795147707406},{NDWI=0.4123957093725813},LANDSAT/LT5_L1T_32DAY_NDWI/20000508,{NDWI=0.10202469094568103},{NDWI=0.010409037562561731},
1_1_20000609,960508800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/20000609,{NDWI=null},{NDWI=null},
