system:index,image_date,mean,median,source,std,variance,.geo
1_1_20000305,952214400000,{NDWI=0.9472784022354099},{NDWI=0.9516619878624557},LANDSAT/LT5_L1T_32DAY_NDWI/20000305,{NDWI=0.017499289190739564},{NDWI=3.062251221811346E-4},
1_1_20000406,954979200000,{NDWI=0.26690305883170573},{NDWI=0.26037473925228777},LANDSAT/LT5_L1T_32DAY_NDWI/20000406,{NDWI=0.03567206629101795},{NDWI=0.0012724963134707792},
1_1_20000508,957744000000,{NDWI=0.12975018374949102},{NDWI=0.04279859773814678},LANDSAT/LT5_L1T_32DAY_NDWI/20000508,{NDWI=0.326745772849927},{NDWI=0.10676280007529608},
1_1_20000609,960508800000,{NDWI=0.12143939051235073},{NDWI=0.12297413141831108},LANDSAT/LT5_L1T_32DAY_NDWI/20000609,{NDWI=0.13659569917379297},{NDWI=0.018658385032777346},
1_1_20000711,963273600000,{NDWI=0.10768094404094149},{NDWI=0.10321661084890366},LANDSAT/LT5_L1T_32DAY_NDWI/20000711,{NDWI=0.10451161905314983},{NDWI=0.010922678517110712},
1_1_20000812,966038400000,{NDWI=0.001665848084269973},{NDWI=-0.006218873189451793},LANDSAT/LT5_L1T_32DAY_NDWI/20000812,{NDWI=0.08913990274999306},{NDWI=0.00794592226227822},
1_1_20000913,968803200000,{NDWI=0.8947589922324553},{NDWI=0.9239179082770845},LANDSAT/LT5_L1T_32DAY_NDWI/20000913,{NDWI=0.07509425898386717},{NDWI=0.005639147732336114},
1_1_20001015,971568000000,{NDWI=0.25524306218568127},{NDWI=0.24891012786207972},LANDSAT/LT5_L1T_32DAY_NDWI/20001015,{NDWI=0.051090565767450025},{NDWI=0.0026102459104381365},
1_1_20001116,974332800000,{NDWI=0.7964548715290025},{NDWI=0.7945328503847122},LANDSAT/LT5_L1T_32DAY_NDWI/20001116,{NDWI=0.024181241727854377},{NDWI=5.847324515009258E-4},
1_1_20001218,977097600000,{NDWI=0.6650926670216301},{NDWI=0.6673968288956619},LANDSAT/LT5_L1T_32DAY_NDWI/20001218,{NDWI=0.030633390991604628},{NDWI=9.384046436445235E-4},
1_1_20010101,978307200000,{NDWI=0.6650926670216301},{NDWI=0.6673968288956619},LANDSAT/LT5_L1T_32DAY_NDWI/20010101,{NDWI=0.030633390991604628},{NDWI=9.384046436445235E-4},
1_1_20010202,981072000000,{NDWI=0.4372165402116841},{NDWI=0.4368604024251302},LANDSAT/LT5_L1T_32DAY_NDWI/20010202,{NDWI=0.04041674328540625},{NDWI=0.0016335131377984312},
1_1_20010306,983836800000,{NDWI=0.9159794550848334},{NDWI=0.9362213399341638},LANDSAT/LT5_L1T_32DAY_NDWI/20010306,{NDWI=0.07146320544303666},{NDWI=0.005106989732193664},
1_1_20010407,986601600000,{NDWI=0.9384621986554327},{NDWI=0.9440695172132447},LANDSAT/LT5_L1T_32DAY_NDWI/20010407,{NDWI=0.023478017269710286},{NDWI=5.512172949168144E-4},
1_1_20010509,989366400000,{NDWI=-0.06920177650124136},{NDWI=-0.08195572025500811},LANDSAT/LT5_L1T_32DAY_NDWI/20010509,{NDWI=0.14367247311526055},{NDWI=0.020641779531055265},
1_1_20010610,992131200000,{NDWI=0.05923039239091485},{NDWI=0.06453644633293151},LANDSAT/LT5_L1T_32DAY_NDWI/20010610,{NDWI=0.12024905150239285},{NDWI=0.014459834387225126},
1_1_20010712,994896000000,{NDWI=0.08864181538287255},{NDWI=0.07399401606260976},LANDSAT/LT5_L1T_32DAY_NDWI/20010712,{NDWI=0.10403178013516057},{NDWI=0.010822611278090389},
1_1_20010813,997660800000,{NDWI=0.02098876534988011},{NDWI=0.005991512714254279},LANDSAT/LT5_L1T_32DAY_NDWI/20010813,{NDWI=0.08415593938230771},{NDWI=0.0070822221333186495},
1_1_20010914,1000425600000,{NDWI=-0.05131987608301589},{NDWI=-0.06820695387556198},LANDSAT/LT5_L1T_32DAY_NDWI/20010914,{NDWI=0.08455970805071684},{NDWI=0.007150344225622466},
1_1_20011016,1003190400000,{NDWI=0.0950780969023109},{NDWI=0.09936073067642394},LANDSAT/LT5_L1T_32DAY_NDWI/20011016,{NDWI=0.07829445181391098},{NDWI=0.006130021184840829},
1_1_20011117,1005955200000,{NDWI=0.7496288743037767},{NDWI=0.7464706599712372},LANDSAT/LT5_L1T_32DAY_NDWI/20011117,{NDWI=0.03110907147208318},{NDWI=9.677743278551795E-4},
1_1_20011219,1008720000000,{NDWI=0.5496434975276955},{NDWI=0.5527147086043107},LANDSAT/LT5_L1T_32DAY_NDWI/20011219,{NDWI=0.12228752692022603},{NDWI=0.014954239240265005},
1_1_20020101,1009843200000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/20020101,{NDWI=null},{NDWI=null},
1_1_20020202,1012608000000,{NDWI=0.853019056838086},{NDWI=0.8570489855699761},LANDSAT/LT5_L1T_32DAY_NDWI/20020202,{NDWI=0.023571950003919515},{NDWI=5.556368269872813E-4},
1_1_20020306,1015372800000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/20020306,{NDWI=null},{NDWI=null},
1_1_20020407,1018137600000,{NDWI=null},{NDWI=null},LANDSAT/LT5_L1T_32DAY_NDWI/20020407,{NDWI=null},{NDWI=null},
1_1_20020509,1020902400000,{NDWI=0.620557792510276},{NDWI=0.6933941803872585},LANDSAT/LT5_L1T_32DAY_NDWI/20020509,{NDWI=0.24455678269288333},{NDWI=0.05980801996109416},
1_1_20020610,1023667200000,{NDWI=0.13373597156026026},{NDWI=0.12853683450737516},LANDSAT/LT5_L1T_32DAY_NDWI/20020610,{NDWI=0.14277981700262593},{NDWI=0.02038607614330335},
1_1_20020712,1026432000000,{NDWI=0.17461584195709484},{NDWI=0.1735709538417203},LANDSAT/LT5_L1T_32DAY_NDWI/20020712,{NDWI=0.1149747252733073},{NDWI=0.013219187451672486},
